date,film action,film religi,film romantis,netflix,bioskop
2025-04-13,1,0,1,61,9
2025-04-20,1,0,1,59,8
2025-04-27,1,0,1,62,7
2025-05-04,1,0,1,57,7
2025-05-11,1,0,1,61,8
2025-05-18,1,0,1,62,7
2025-05-25,1,0,1,62,7
2025-06-01,1,0,1,56,6
2025-06-08,1,0,1,59,6
2025-06-15,1,0,1,59,7
2025-06-22,1,0,1,70,7
2025-06-29,1,0,1,64,7
2025-07-06,1,0,1,57,6
2025-07-13,1,0,1,53,6
2025-07-20,1,0,1,49,7
2025-07-27,1,0,1,46,5
2025-08-03,1,0,1,47,6
2025-08-10,1,0,1,53,8
2025-08-17,1,0,1,52,8
2025-08-24,1,0,1,47,6
2025-08-31,1,0,1,51,6
2025-09-07,1,0,1,47,5
2025-09-14,1,0,1,47,5
2025-09-21,1,0,1,48,5
2025-09-28,1,0,1,50,5
2025-10-05,1,0,1,50,5
2025-10-12,1,0,1,46,5
2025-10-19,1,0,1,51,5
2025-10-26,1,0,1,58,5
2025-11-02,1,0,1,55,5
2025-11-09,1,0,1,54,5
2025-11-16,1,0,1,55,5
2025-11-23,1,0,1,49,5
2025-11-30,1,0,1,49,6
2025-12-07,1,0,1,56,7
2025-12-14,1,0,1,64,8
2025-12-21,1,0,1,69,9
2025-12-28,1,0,1,74,9
2026-01-04,1,0,1,65,6
2026-01-11,1,0,1,62,6
2026-01-18,1,0,1,60,6
2026-01-25,1,0,1,52,6
2026-02-01,1,0,1,50,5
2026-02-08,1,0,1,49,5
2026-02-15,1,0,1,51,5
2026-02-22,1,0,1,46,4
2026-03-01,1,0,1,39,4
2026-03-08,1,0,1,45,4
2026-03-15,1,0,1,58,5
2026-03-22,1,0,1,58,10
2026-03-29,1,0,1,52,7
2026-04-05,1,0,1,51,6
2026-04-12,1,0,1,47,6
2026-04-19,1,0,1,45,6
2026-04-26,1,0,1,51,7
2026-05-03,1,0,1,47,6
2026-05-10,1,0,1,51,7
2026-05-17,1,0,0,47,5
2026-05-24,1,0,1,49,6
2026-05-31,1,0,1,50,6
2026-06-07,1,0,1,52,5
2026-06-14,1,0,1,50,6
2026-06-21,1,0,0,55,6
2026-06-28,1,0,1,54,6
2026-07-05,1,0,1,56,6
2026-07-12,1,0,1,53,6
2026-07-19,1,0,0,52,5
2026-07-26,1,0,1,47,6
2026-08-02,1,0,0,47,5
2026-08-09,1,0,1,45,5
2026-08-16,1,0,1,45,6
2026-08-23,1,0,1,46,5
2026-08-30,1,0,1,44,5
2026-09-06,1,0,0,38,5
2026-09-13,1,0,0,27,5
2026-09-20,1,0,0,28,6
