date,film horor,film komedi,film drama,film animasi,bioskop
2025-04-13,49,9,6,3,57
2025-04-20,45,7,5,1,46
2025-04-27,45,7,4,1,44
2025-05-04,41,7,4,1,40
2025-05-11,52,9,5,1,46
2025-05-18,44,7,5,1,43
2025-05-25,42,7,5,0,43
2025-06-01,43,7,5,1,38
2025-06-08,45,6,5,1,37
2025-06-15,43,8,5,1,39
2025-06-22,51,8,5,1,42
2025-06-29,44,8,5,1,44
2025-07-06,44,6,4,1,38
2025-07-13,43,7,4,1,38
2025-07-20,40,6,4,0,41
2025-07-27,37,6,4,0,32
2025-08-03,41,5,4,1,38
2025-08-10,43,5,4,2,45
2025-08-17,44,7,5,1,45
2025-08-24,39,6,5,1,39
2025-08-31,41,6,8,1,37
2025-09-07,40,6,6,0,31
2025-09-14,39,6,6,0,30
2025-09-21,43,6,6,1,31
2025-09-28,38,6,8,0,32
2025-10-05,39,6,9,1,31
2025-10-12,40,8,9,0,30
2025-10-19,39,6,8,0,27
2025-10-26,39,6,11,0,29
2025-11-02,40,6,9,0,30
2025-11-09,39,7,8,0,32
2025-11-16,39,7,9,0,30
2025-11-23,33,8,8,0,32
2025-11-30,34,7,7,0,37
2025-12-07,40,7,7,1,40
2025-12-14,44,8,6,1,45
2025-12-21,54,10,6,0,54
2025-12-28,57,11,6,1,54
2026-01-04,45,6,6,0,39
2026-01-11,44,7,5,1,36
2026-01-18,40,6,6,0,33
2026-01-25,40,6,5,0,35
2026-02-01,39,6,5,1,31
2026-02-08,37,5,4,0,28
2026-02-15,40,7,5,1,29
2026-02-22,37,5,6,0,24
2026-03-01,30,5,5,1,24
2026-03-08,32,4,4,1,24
2026-03-15,45,5,5,1,32
2026-03-22,57,10,6,1,61
2026-03-29,43,7,5,1,41
2026-04-05,38,5,5,0,37
2026-04-12,39,6,5,0,38
2026-04-19,39,6,6,1,36
2026-04-26,43,7,5,1,40
2026-05-03,39,5,5,0,34
2026-05-10,41,7,6,1,42
2026-05-17,38,6,5,1,29
2026-05-24,44,6,5,1,38
2026-05-31,41,7,5,1,35
2026-06-07,36,6,5,1,33
2026-06-14,43,6,4,0,39
2026-06-21,42,6,4,1,35
2026-06-28,45,7,4,1,38
2026-07-05,42,6,5,0,36
2026-07-12,40,5,6,0,34
2026-07-19,37,6,6,0,33
2026-07-26,34,5,5,0,34
2026-08-02,29,4,5,0,30
2026-08-09,29,5,4,0,31
2026-08-16,37,6,5,1,36
2026-08-23,41,5,5,0,32
2026-08-30,34,5,4,0,32
2026-09-06,34,5,4,0,31
2026-09-13,31,5,3,0,33
2026-09-20,32,4,5,0,34
