date,Ipar Adalah Maut,Kang Mak,The Shadow Strays,Jumbo,bioskop
2025-04-06,1,1,0,53,74
2025-04-13,1,1,0,59,57
2025-04-20,1,1,0,43,46
2025-04-27,1,1,0,32,44
2025-05-04,1,0,0,26,40
2025-05-11,1,1,1,26,46
2025-05-18,0,1,0,18,43
2025-05-25,1,0,0,18,43
2025-06-01,1,1,0,17,38
2025-06-08,1,0,0,10,37
2025-06-15,0,0,0,12,39
2025-06-22,0,0,0,9,42
2025-06-29,1,1,0,8,44
2025-07-06,1,0,0,8,38
2025-07-13,1,0,0,7,38
2025-07-20,1,1,0,6,41
2025-07-27,1,0,0,5,32
2025-08-03,1,0,0,5,38
2025-08-10,0,1,0,7,45
2025-08-17,1,1,1,6,45
2025-08-24,1,1,0,5,39
2025-08-31,1,1,0,4,37
2025-09-07,0,1,0,3,31
2025-09-14,0,2,0,3,30
2025-09-21,0,3,0,4,31
2025-09-28,0,3,0,3,32
2025-10-05,1,3,0,3,31
2025-10-12,0,3,0,3,30
2025-10-19,1,2,0,3,27
2025-10-26,0,2,0,2,29
2025-11-02,2,1,0,3,30
2025-11-09,2,1,0,3,32
2025-11-16,2,1,0,3,30
2025-11-23,1,1,0,3,32
2025-11-30,0,1,0,4,37
2025-12-07,2,1,0,4,40
2025-12-14,2,0,0,4,45
2025-12-21,1,1,0,10,54
2025-12-28,1,0,0,11,54
2026-01-04,1,1,0,5,39
2026-01-11,0,1,0,3,36
2026-01-18,0,0,0,2,33
2026-01-25,0,0,0,2,35
2026-02-01,0,0,0,2,31
2026-02-08,0,2,0,2,28
2026-02-15,0,2,0,1,29
2026-02-22,0,1,0,2,24
2026-03-01,0,0,0,1,24
2026-03-08,0,0,0,2,24
2026-03-15,0,0,0,2,32
2026-03-22,0,1,0,2,61
2026-03-29,0,0,0,2,41
2026-04-05,0,0,0,2,37
2026-04-12,0,0,0,1,38
2026-04-19,0,0,0,2,36
2026-04-26,0,1,0,1,40
2026-05-03,0,0,0,1,34
2026-05-10,0,0,0,1,42
2026-05-17,0,0,0,1,29
2026-05-24,0,0,0,1,38
2026-05-31,0,0,0,1,35
2026-06-07,0,0,0,0,33
2026-06-14,0,0,0,2,39
2026-06-21,1,0,0,1,35
2026-06-28,0,0,0,1,38
2026-07-05,0,0,0,1,36
2026-07-12,0,0,0,1,34
2026-07-19,0,0,0,1,33
2026-07-26,0,0,0,1,34
2026-08-02,0,0,0,1,30
2026-08-09,0,0,0,1,31
2026-08-16,0,0,0,1,36
2026-08-23,0,0,0,1,32
2026-08-30,0,0,0,0,32
2026-09-06,0,0,0,0,31
2026-09-13,0,0,0,1,33
2026-09-20,0,0,0,1,33
