date,Sewu Dino,Agak Laen,Vina: Sebelum 7 Hari,Siksa Kubur,bioskop
2025-04-06,0,2,0,0,74
2025-04-13,0,3,0,0,57
2025-04-20,0,2,0,1,46
2025-04-27,0,2,0,0,44
2025-05-04,0,3,0,0,40
2025-05-11,1,2,0,0,46
2025-05-18,1,2,0,0,43
2025-05-25,0,1,0,0,43
2025-06-01,0,1,0,0,38
2025-06-08,0,1,0,0,37
2025-06-15,0,1,0,0,39
2025-06-22,0,2,0,0,42
2025-06-29,0,1,0,0,44
2025-07-06,0,1,0,0,38
2025-07-13,0,1,0,1,38
2025-07-20,0,1,0,0,41
2025-07-27,0,0,0,0,32
2025-08-03,0,1,0,0,38
2025-08-10,0,2,0,0,45
2025-08-17,0,2,0,0,45
2025-08-24,0,1,0,0,39
2025-08-31,0,1,0,0,37
2025-09-07,0,1,0,0,31
2025-09-14,0,1,0,0,30
2025-09-21,0,1,1,0,31
2025-09-28,0,1,0,0,32
2025-10-05,0,1,0,0,31
2025-10-12,0,1,0,0,30
2025-10-19,0,1,0,0,27
2025-10-26,0,1,0,0,29
2025-11-02,0,1,0,0,30
2025-11-09,0,2,0,0,32
2025-11-16,0,2,0,0,30
2025-11-23,0,16,0,0,32
2025-11-30,0,41,0,0,37
2025-12-07,0,33,0,0,40
2025-12-14,1,29,0,0,45
2025-12-21,2,39,0,0,54
2025-12-28,4,46,0,0,54
2026-01-04,2,32,0,0,39
2026-01-11,1,10,0,0,36
2026-01-18,1,9,0,0,33
2026-01-25,0,8,0,0,35
2026-02-01,0,7,0,0,31
2026-02-08,0,6,0,0,28
2026-02-15,0,6,0,0,29
2026-02-22,0,4,0,0,24
2026-03-01,0,4,0,0,24
2026-03-08,0,4,0,0,24
2026-03-15,0,4,0,0,32
2026-03-22,0,4,0,0,61
2026-03-29,0,3,0,0,41
2026-04-05,0,4,0,0,37
2026-04-12,0,4,0,0,38
2026-04-19,0,3,0,0,36
2026-04-26,3,4,0,0,40
2026-05-03,2,2,0,0,34
2026-05-10,1,2,0,0,42
2026-05-17,0,2,0,0,29
2026-05-24,1,5,0,0,38
2026-05-31,0,4,0,0,35
2026-06-07,0,2,0,0,33
2026-06-14,1,3,0,0,39
2026-06-21,0,2,0,0,35
2026-06-28,0,2,0,0,38
2026-07-05,0,2,0,0,36
2026-07-12,0,1,0,0,34
2026-07-19,0,0,0,0,33
2026-07-26,0,1,0,0,34
2026-08-02,0,1,0,0,30
2026-08-09,0,1,0,0,31
2026-08-16,0,1,0,0,36
2026-08-23,0,2,0,0,32
2026-08-30,0,1,0,0,32
2026-09-06,0,0,0,0,31
2026-09-13,0,1,0,0,33
2026-09-20,0,1,0,0,33
